census_year,block_id,property_id,base_property_id,building_address,CLUE_small_area,parking_type,parking_spaces,longitude,latitude
2013,61,105718,105718,617-649 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Residential,296,144.9536,-37.81542
2013,62,105862,105862,542-546 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Commercial,373,144.9564,-37.8148
2013,64,108102,108102,200-222 Queen Street MELBOURNE 3000,Melbourne (CBD),Commercial,427,144.96047,-37.81346
2013,65,103312,103312,222-260 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Commercial,205,144.96289,-37.8127
2013,67,108582,108582,210-222 Russell Street MELBOURNE 3000,Melbourne (CBD),Commercial,445,144.96796,-37.81134
2013,68,103620,103620,196-226 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Private,230,,
2013,71,108962,108962,244-276 Spencer Street MELBOURNE 3000,Melbourne (CBD),Commercial,173,144.95296,-37.81438
2013,72,110708,110707,535 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Commercial,800,144.956,-37.81346
2013,73,559301,559301,458-468 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Commercial,294,144.95835,-37.81306
2013,78,603923,580091,32-54 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Private,300,144.97073,-37.8092
2013,82,105460,105460,479-495 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Commercial,208,144.95492,-37.81271
2013,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Private,160,144.96284,-37.8109
2013,93,573454,565462,28 Wills Street MELBOURNE 3000,Melbourne (CBD),Residential,115,144.95723,-37.81068
2013,94,105484,105484,296-310 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Commercial,520,144.96037,-37.80998
2013,94,108089,108089,346-376 Queen Street MELBOURNE 3000,Melbourne (CBD),Commercial,146,144.9592,-37.81025
2013,95,105485,105485,224-252 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Commercial,716,144.96228,-37.80966
2013,95,500323,500323,19-37 A'Beckett Street MELBOURNE 3000,Melbourne (CBD),Residential,140,144.96261,-37.80894
2013,101,105111,105111,50-64 Jeffcott Street WEST MELBOURNE 3003,West Melbourne (Residential),Residential,178,144.95161,-37.81157
2013,113,110685,108118,391 Queen Street MELBOURNE 3000,Melbourne (CBD),Commercial,820,144.95695,-37.80762
2013,115,110747,110747,499-511 Swanston Street MELBOURNE 3000,Melbourne (CBD),Private,156,144.96192,-37.80693
2013,115,604779,587480,8 Franklin Street MELBOURNE 3000,Melbourne (CBD),Private,546,144.96209,-37.80729
2013,115,624495,624495,23-39 Therry Street MELBOURNE 3000,Melbourne (CBD),Private,157,144.96103,-37.8071
2013,131,103979,103979,671-701 Flinders Street DOCKLANDS 3005,Docklands,Commercial,699,144.95217,-37.82233
2013,205,104469,104469,114-152 Grattan Street CARLTON 3053,Carlton,Private,460,144.96489,-37.79994
