id,name3,host_id,host_name,neighbourhood_group,neighbourhood,latitude3,longitude3,room_type3,low_price,minimum_nights3,number_of_reviews3,reviews_per_month,calculated_host_listings_count,availability_365
11703323,"2 dogs, 1 cat, my husband and I.",4591571,Cassie,,Wyndham,-37.83627138,144.716031,Private room,32,1,40,1.2,1,363
30510628,"Shared room for a girl on Smith street, Melbourne",38996588,Eunji,,Yarra,-37.80666353,144.9834676,Shared room,21,7,0,,1,14
4967458,Location Space Character & Comfort!,617308,Jane,,Yarra,-37.80626622,144.9824328,Private room,22,4,34,0.73,2,6
8375432,Sort term room rent in Princes Hill,44142350,Caroline,,Yarra,-37.78137268,144.9700498,Private room,22,12,0,,1,0
8905856,One room in a lovely shared house,46582678,Natasha,,Yarra,-37.78883782,145.000284,Private room,26,1,0,,1,0
13336201,twin room in 2 storey townhouse,63166264,Lana,,Yarra,-37.79636242,144.9899048,Shared room,26,6,3,0.33,3,355
7214012,Spacious home just out of the City,27460296,Lauren,,Yarra,-37.81979811,144.9964152,Private room,28,1,1,0.07,2,0
12723934,Private bedroom in North Fitzroy,7612760,Paul,,Yarra,-37.78436047,144.9790604,Private room,28,1,0,,1,0
7253120,"Spacious house in Richmond, Melb",27460296,Lauren,,Yarra,-37.81948559,144.9980926,Private room,28,3,2,0.05,2,0
9826533,Entrepreneurs Open Office Desk # 1,27121649,Hab,,Yarra,-37.81274,144.9986909,Shared room,28,5,0,,1,363
5873749,Warm Tent in Garden Surprisingly Comfortable,10812760,Frank,,Yarra,-37.80976069,144.995279,Private room,30,1,8,0.82,16,0
12715592,Room with 2 beds,65402097,Leon,,Yarra Ranges,-37.78426069,145.5695817,Private room,25,1,21,0.73,1,321
21625539,Griffield House,151999227,Warwick,,Yarra Ranges,-37.76246057,145.320256,Private room,30,1,5,0.4,3,0
8614459,Rustic camping on the Yarra!,45316856,Adrienne,,Yarra Ranges,-37.72300282,145.7740619,Shared room,35,1,27,0.72,1,84
11262362,Cozy and comfy,32165537,Gillian,,Yarra Ranges,-37.77075459,145.3005984,Private room,35,1,1,0.06,1,340
15277956,Escape to nature. Single room.,82786047,Daisy,,Yarra Ranges,-37.70719668,145.8391269,Private room,35,1,0,,1,0
21189916,4 poster bed in rustic mountain cottage,23871907,Phoenix,,Yarra Ranges,-37.75216522,145.6753359,Private room,35,1,8,0.96,2,60
19212046,Cozy Spare room - near Yarra Valley,134443628,Joseph,,Yarra Ranges,-37.78543022,145.326046,Private room,35,2,8,0.45,1,20
20234031,Cute Gypsy Wagon with fireplace & outdoor bath,23871907,Phoenix,,Yarra Ranges,-37.75161141,145.6758085,Entire home/apt,39,1,22,1.54,2,83
21085126,Griffield House,151999227,Warwick,,Yarra Ranges,-37.76364562,145.321301,Private room,44,1,15,1.06,3,166
21625466,Griffield House,151999227,Warwick,,Yarra Ranges,-37.76429498,145.3197923,Private room,44,1,16,1.27,3,14
