id,name2,host_id,host_name,neighbourhood_group,neighbourhood,latitude2,longitude2,room_type2,high_price,minimum_nights2,number_of_reviews2,reviews_per_month,calculated_host_listings_count,availability_365,
10121508,"Edwardian charm, Resort living",51626956,Peter,,Glen Eira,-37.91433698,145.0295232,Entire home/apt,450,2,36,1.05,1,339,1
248235,HUGE newly renovated home with pool,1300846,Ayelet,,Glen Eira,-37.86392244,145.0173674,Entire home/apt,419,4,8,0.11,1,90,1
6170604,McKinnon - Parkside Luxury living - Family Home,3375986,Lee,,Glen Eira,-37.90883135,145.0320471,Entire home/apt,400,5,6,0.26,1,356,1
3105366,"3 Bedroom 3.5 bathrm, Art Deco Home",9173051,Christine,,Glen Eira,-37.89583212,145.0145946,Entire home/apt,400,7,2,0.14,5,294,1
5205158,"""Maison de Fleurs"" built in 1885.",6340623,Bernadette,,Glen Eira,-37.88549501,145.0141633,Entire home/apt,400,7,1,0.04,1,6,1
11303220,Lake View Private Villa-Chelsea Beach,59071825,Sisly,,Greater Dandenong,-38.04321762,145.1515985,Entire home/apt,3000,2,2,0.09,1,221,1
28995785,SPRINGVALE LUXURY HOME,97610051,Ha,,Greater Dandenong,-37.93804337,145.1603798,Entire home/apt,354,1,0,,1,251,1
7468159,Executive 4 Bedroom Townhouse with Stunning view,39093981,Don,,Greater Dandenong,-37.99279259,145.204644,Entire home/apt,280,3,7,0.44,5,205,1
7463312,Executive 4 Bedroom Townhouse with Stunning view,39093981,Don,,Greater Dandenong,-37.99188778,145.2030847,Entire home/apt,280,3,2,0.05,5,205,1
21326190,City Edge - stunning three bedroom apartment #2,142352571,Kenny,,Greater Dandenong,-37.98681348,145.2116341,Entire home/apt,280,7,1,0.09,6,364,1
21382790,City Edge - stunning three bedroom apartment #4,142352571,Kenny,,Greater Dandenong,-37.98759081,145.2118695,Entire home/apt,280,7,1,0.09,6,364,1
19701538,Waltzing Matilda Apartment,138809348,Waltzing,,Greater Dandenong,-37.96337663,145.1498923,Private room,239,1,0,,1,337,1
8412000,Stunning view - 3 Bedroom Townhouse,39093981,Don,,Greater Dandenong,-37.99226859,145.2028545,Entire home/apt,235,3,3,0.19,5,201,1
10127951,Stunning view - 3 Bedroom Townhouse,39093981,Don,,Greater Dandenong,-37.99168851,145.203059,Entire home/apt,235,3,2,0.08,5,201,1
21489052,City Edge - stunning two bedroom apartment #8,142352571,Kenny,,Greater Dandenong,-37.98821437,145.2116022,Entire home/apt,228,7,2,0.16,6,364,1
11759113,"Relaxed, Convenient Home",19719080,Mark,,Hobsons Bay,-37.87841238,144.7554465,Private room,999,1,3,0.09,1,365,1
16289936,Magnolia House,106564535,Magnolia House,,Hobsons Bay,-37.84539074,144.8860594,Entire home/apt,599,2,9,0.39,1,354,1
6390245,Stylish  Family Home with pool,33313740,Ken,,Hobsons Bay,-37.85678553,144.8804942,Entire home/apt,375,1,0,,1,0,1
