id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
21142148,Wonderful Windsor –Lovely Apartment Fantastic Area,151601541,Candice,,Stonnington,-37.85619736,144.9987107,Entire home/apt,90,3,18,1.29,1,90
28208883,Bright & Sunny Loft Apartment,6284912,Philippa,,Yarra,-37.80832581,145.0000004,Entire home/apt,90,3,2,1.82,1,0
5608969,Convenient Cosy Private University City Life!,9717643,Bea,,Melbourne,-37.80481309,144.9580362,Entire home/apt,91,3,33,0.77,1,356
15133958,Funky In Fitzroy Nth,30242107,Katherine,,Yarra,-37.78267101,144.9887888,Entire home/apt,91,3,24,0.93,1,51
17078340,Modern Bayside ST KILDA Apartment - Trams to CBD!,67275695,Helen,,Port Phillip,-37.86385468,144.9889782,Entire home/apt,91,3,35,1.61,2,0
19418115,Fabulous location! Cozy Apartment! Very secure!,83299822,Macca,,Maribyrnong,-37.81779202,144.8942584,Entire home/apt,91,3,0,,1,0
657209,** Cute Studio on Chapel St ** best location,721348,Living Like Locals,,Port Phillip,-37.86094212,144.9929855,Entire home/apt,93,3,73,1.01,2,272
17226547,Modern Penthouse Apartment over working Auto Shop[,1616284,Stephen,,Darebin,-37.76666299,145.0204663,Entire home/apt,93,3,68,3.12,1,176
2795557,Bay Views by the Yarra,5294677,Maxine,,Stonnington,-37.83720901,144.9945072,Entire home/apt,94,3,41,0.87,1,267
5173452,2bedroom hotel style with portacot,26654273,David And Amanda,,Port Phillip,-37.86620912,145.0048849,Entire home/apt,94,3,75,1.63,1,273
642782,Entire apartment - heart of Prahran,917998,Wendy,,Stonnington,-37.85221953,144.9933086,Entire home/apt,96,3,62,0.85,1,294
1930659,"Double room, close to CBD & beach in family home",331744,Jillian,,Port Phillip,-37.83537714,144.9395321,Private room,96,3,20,0.35,2,220
3947279,Central Melbourne Studio Apartment,16797421,Debra,,Melbourne,-37.8140866,144.9668997,Entire home/apt,96,3,116,2.31,1,277
5126539,Cozy apt at vibrant neighbourhood,2991266,Aline,,Port Phillip,-37.87244783,144.9982008,Entire home/apt,96,3,16,0.34,1,0
5146380,beautiful room in warehouse,10445232,Simone,,Yarra,-37.7792748,144.9811331,Private room,96,3,1,0.03,2,0
5409141,Kensington Apartment,14173212,Neil,,Melbourne,-37.79085085,144.9320973,Entire home/apt,96,3,123,2.68,1,59
5447836,Lilypad - centre of the action!,17218091,Sooz,,Darebin,-37.75802244,145.0003821,Entire home/apt,96,3,24,0.67,1,355
7420426,Private Bohemian Haven,5053635,Tilly & Dylan,,Glen Eira,-37.8951614,145.0426169,Entire home/apt,96,3,27,0.68,1,311
8690704,Luxury Apartment,45623201,Richard,,Boroondara,-37.82445733,145.0416711,Entire home/apt,96,3,86,2.32,1,99
9305349,Southbank with Stunning City Views,43926718,Dean & Chris,,Melbourne,-37.8249384,144.9651455,Private room,96,3,78,2.11,1,313
9802223,7 min walk from Melbourne Central,50258915,Cassi,,Melbourne,-37.80676564,144.9669589,Entire home/apt,96,3,4,0.12,1,0
10195310,Self-contained unit in superb Richmond location,42238180,Krystie,,Yarra,-37.82496114,145.0035318,Entire home/apt,96,3,51,1.42,2,109
10197211,"Cozy house, walking distance to everything.",24724548,Nicolas,,Maroondah,-37.81185092,145.2201355,Entire home/apt,96,3,28,0.92,1,329
12349535,Sleepy Hawthorn Hollow,66691932,Joanne,,Boroondara,-37.81788582,145.0544614,Entire home/apt,96,3,15,0.71,1,259
